Rp_17051	Rp_16996
Rp_17193	Rp_12709
Rp_17276	Rp_17275
Rp_17278	Rp_14739
Rp_17320	Rp_17318
Rp_17336	Rp_16222
Rp_17337	Rp_16222
Rp_17518	Rp_17045
Rp_17742	Rp_17086
Rp_17891	Rp_16126
Rp_17912	Rp_16074
Rp_17940	Rp_16074
Rp_17942	Rp_13092
Rp_17943	Rp_13092
Rp_17948	Rp_14141
Rp_17958	Rp_12979
Rp_17959	Rp_12979
Rp_17995	Rp_12809
Rp_18046	Rp_17975
Rp_18047	Rp_17917
Rp_18048	Rp_8869
Rp_18143	Rp_18138
Rp_18152	Rp_18150
Rp_18158	Rp_17648
Rp_18178	Rp_14713
Rp_18406	Rp_18403
Rp_18407	Rp_18406
Rp_18410	Rp_18409
Rp_18417	Rp_18416
Rp_18425	Rp_12809
Rp_18426	Rp_12809
Rp_18443	Rp_18096
Rp_18493	Rp_18485
Rp_18575	Rp_18516
Rp_18757	Rp_18606
Rp_18780	Rp_18619
Rp_18797	Rp_18599
Rp_18822	Rp_18718
Rp_18877	Rp_18874
Rp_18878	Rp_18874
Rp_18879	Rp_18471
Rp_18913	Rp_18288
Rp_18915	Rp_18266
Rp_18950	Rp_18414
Rp_19038	Rp_18516
Rp_19039	Rp_18516
Rp_19052	Rp_15694
Rp_19106	Rp_9332
Rp_19352	Rp_19334
Rp_19397	Rp_19044
Rp_19484	Rp_15545
Rp_19489	Rp_16121
Rp_19490	Rp_16850
Rp_19491	Rp_16856
Rp_19496	Rp_16720
Rp_19497	Rp_19494
Rp_19540	Rp_19539
Rp_19541	Rp_19540
Rp_19542	Rp_19541
Rp_19543	Rp_19542
Rp_19544	Rp_19543
Rp_19547	Rp_19546
Rp_19548	Rp_19547
Rp_19549	Rp_19548
Rp_19612	Rp_19611
Rp_19617	Rp_7310
Rp_19628	Rp_16059
Rp_19642	Rp_19640
Rp_19703	Rp_19702
Rp_19800	Rp_19668
Rp_19805	Rp_19804
Rp_19812	Rp_17478
Rp_19824	Rp_19488
Rp_19852	Rp_15525
Rp_19855	Rp_19801
Rp_19877	Rp_16128
Rp_19969	Rp_19967
Rp_20052	Rp_20048
Rp_20057	Rp_19365
Rp_20058	Rp_19365
Rp_20059	Rp_19365
Rp_20063	Rp_20062
Rp_20064	Rp_20063
Rp_20078	Rp_20037
Rp_20090	Rp_20038
Rp_20135	Rp_18967
Rp_20137	Rp_4067
Rp_20144	Rp_14712
Rp_20200	Rp_20199
Rp_20202	Rp_20201
Rp_20204	Rp_20203
Rp_20207	Rp_20206
Rp_20209	Rp_20208
Rp_20210	Rp_20209
Rp_20211	Rp_20210
Rp_20212	Rp_20211
Rp_20213	Rp_20212
Rp_20214	Rp_20213
Rp_20215	Rp_20214
Rp_20234	Rp_19942
Rp_20235	Rp_19823
Rp_20236	Rp_20232
Rp_20271	Rp_20270
Rp_20316	Rp_20289
Rp_20321	Rp_20275
Rp_20406	Rp_20259
Rp_20412	Rp_20390
Rp_20483	Rp_20470
Rp_20493	Rp_20489
Rp_20496	Rp_15104
Rp_20508	Rp_20480
Rp_20515	Rp_16128
Rp_20538	Rp_20469
Rp_20575	Rp_20525
Rp_20576	Rp_20567
Rp_20577	Rp_20536
Rp_20579	Rp_20053
Rp_20580	Rp_20554
Rp_20581	Rp_19436
Rp_20641	Rp_20616
Rp_20677	Rp_20675
Rp_20713	Rp_20711
Rp_20752	Rp_20745
Rp_20765	Rp_18067
Rp_20783	Rp_12927
Rp_20888	Rp_18087
Rp_21355	Rp_21354
Rp_21369	Rp_20597
Rp_21384	Rp_21284
Rp_21415	Rp_21362
